day,time,title
1,08:30 - 09:00,Arrival and coffee
1,09:00 - 09:45,"Introduction: security, literacy, transparency, disclosure"
1,09:45 - 10:30,"Condition one: the work as you do it now"
1,10:30 - 11:00,Break
1,11:00 - 12:15,"Condition two: agents with minimal input"
1,12:15 - 13:15,Lunch
1,13:15 - 14:45,"Condition three: the planned run"
1,14:45 - 15:15,Break
1,15:15 - 16:00,"Plain CSV against a published data package"
1,16:00 - 16:45,"Our response to the disclosure consultation"
1,16:45 - 17:00,Close
